Capturing on 'enp0s3'
File: runs/192.168.59.106_20260324_220200/pcaps/capture_192.168.59.106_20260324_220200.pcap

Packets: 2 
Packets: 4 
Packets: 18 
Packets: 185 
Packets: 407 
Packets: 634 
Packets: 850 
Packets: 1063 
Packets: 1482 
Packets: 1703 
Packets: 2138 
Packets: 2372 
Packets: 2571 
Packets: 2772 
Packets: 2775 
Packets: 2776 
Packets: 2778 
Packets: 2780 
Packets: 2782 
Packets: 2784 
Packets: 2787 
Packets: 3001 
Packets: 3408 
Packets: 3816 
Packets: 4087 
Packets: 4430 
Packets: 4855 
Packets: 5062 
Packets: 5473 
Packets: 5875 
Packets: 6083 
Packets: 6291 
Packets: 6454 
Packets: 6458 
Packets: 6460 
Packets: 6462 
Packets: 6474 
Packets: 6475 
Packets: 6479 
Packets: 6583 
Packets: 6798 
Packets: 7256 
Packets: 7683 
Packets: 8107 
Packets: 8335 
Packets: 8550 
Packets: 8650 
Packets: 8652 
Packets: 8654 
Packets: 8657 
Packets: 8660 
Packets: 8661 
Packets: 8663 
Packets: 8664 
Packets: 8665 
Packets: 8667 
Packets: 8669 
Packets: 8886 
Packets: 9085 
Packets: 9531 
Packets: 9941 
Packets: 10364 
Packets: 10780 
Packets: 11209 
Packets: 11614 
Packets: 11915 
Packets: 12216 
Packets: 12314 
Packets: 12526 
Packets: 12528 
Packets: 12532 
Packets: 12534 
Packets: 12536 
Packets: 12538 
Packets: 12539 
Packets: 12541 
Packets: 12543 
Packets: 12546 
Packets: 12548 
Packets: 12552 
Packets: 12554 
Packets: 12592 
Packets: 13006 
Packets: 13394 
Packets: 13654 
Packets: 14086 
Packets: 14500 
Packets: 14916 
Packets: 15130 
Packets: 15305 
Packets: 15306 
Packets: 15307 
Packets: 15318 
Packets: 15320 
Packets: 15330 
Packets: 15331 
Packets: 15332 
Packets: 15734 
Packets: 16193 
Packets: 16610 
Packets: 17033 
Packets: 17470 
Packets: 17893 
Packets: 18319 
Packets: 18530 
Packets: 18743 
Packets: 19169 
Packets: 19588 
Packets: 19594 
Packets: 19602 
Packets: 19607 
Packets: 19608 
Packets: 19609 
Packets: 19810 
Packets: 20190 
Packets: 20575 
Packets: 20919 
Packets: 21376 
Packets: 21589 
Packets: 21811 
Packets: 22023 
Packets: 22099 
Packets: 22100 
Packets: 22102 
Packets: 22105 
Packets: 22113 
Packets: 22128 
Packets: 22136 
Packets: 22137 
Packets: 22141 
Packets: 22144 
Packets: 22158 
Packets: 22165 
Packets: 22171 
Packets: 22172 
Packets: 22416 
Packets: 22625 
Packets: 22845 
Packets: 23284 
Packets: 23713 
Packets: 24134 
Packets: 24580 
Packets captured: 24580
Packets received/dropped on interface 'enp0s3': 24580/0 (pcap:0/dumpcap:0/flushed:0/ps_ifdrop:0) (100.0%)
